DATETIME, TR, TI, TA, ATUADORES
,42.00,56.36,24.96,-100.00
,42.00,57.85,24.92,-100.00
,42.00,56.78,24.97,-100.00
,42.00,56.04,24.97,-100.00
,42.00,55.40,24.97,-100.00
,42.00,54.30,24.98,-100.00
,42.00,53.69,24.98,-100.00
,42.00,53.69,24.97,-100.00
,42.00,52.75,24.97,-100.00
,42.00,52.24,24.98,-100.00
,42.00,52.17,24.98,-100.00
,42.00,51.01,24.94,-100.00
,42.00,50.43,24.99,-100.00
,42.00,49.98,24.99,-100.00
,42.00,48.82,24.99,-100.00
,42.00,48.53,25.00,-100.00
,42.00,47.76,25.01,-100.00
,42.00,48.05,25.00,-100.00
,42.00,48.37,25.01,-100.00
,42.00,48.08,25.02,-100.00
,42.00,47.70,25.02,-100.00
,42.00,46.37,24.97,-100.00
,42.00,45.76,25.02,-100.00
,42.00,45.44,25.02,-100.00
,42.00,46.37,25.02,-100.00
,42.00,45.96,25.01,-100.00
,42.00,45.67,25.02,-100.00
,42.00,44.50,25.01,-100.00
,42.00,43.86,25.01,-100.00
,42.00,43.70,25.00,-100.00
,42.00,44.12,25.01,-100.00
,42.00,44.02,24.95,-100.00
,42.00,45.41,25.00,-100.00
,42.00,45.15,24.99,-100.00
,42.00,45.02,24.99,-100.00
,42.00,43.02,25.00,-95.12
,42.00,42.93,25.00,-100.00
,42.00,42.86,25.00,-100.00
,42.00,42.38,24.99,-99.47
,42.00,41.89,24.99,-96.95
,42.00,41.25,24.99,-92.17
,42.00,40.77,24.93,-89.33
,42.00,41.22,24.98,-95.47
,42.00,41.28,24.99,-93.14
,42.00,41.31,24.99,-92.46
,42.00,40.83,24.99,-86.29
,42.00,40.15,25.00,-80.10
,42.00,39.86,24.97,-78.45
,42.00,40.22,24.97,-81.66
,42.00,40.25,24.96,-78.46
,29.00,40.96,24.95,-100.00
,29.00,40.67,24.90,-100.00
,29.00,39.38,24.96,-100.00
,29.00,38.99,24.96,-100.00
,29.00,39.38,24.96,-100.00
,29.00,39.90,24.96,-100.00
,29.00,39.80,24.96,-100.00
,29.00,39.38,24.94,-100.00
